Source,Date,Mean
GCAG,2016-05,0.8733
GISTEMP,2016-05,0.93
GCAG,2016-04,1.0735
GISTEMP,2016-04,1.09
GCAG,2016-03,1.2219
GISTEMP,2016-03,1.28
GCAG,2016-02,1.1976
GISTEMP,2016-02,1.33
GCAG,2016-01,1.0379
GISTEMP,2016-01,1.12
GCAG,2015-12,1.1153
GISTEMP,2015-12,1.09
GCAG,2015-11,0.9621
GISTEMP,2015-11,1.01
GCAG,2015-10,0.9853
GISTEMP,2015-10,1.06
GCAG,2015-09,0.9151
GISTEMP,2015-09,0.81
GCAG,2015-08,0.8663
GISTEMP,2015-08,0.77
GCAG,2015-07,0.8025
GISTEMP,2015-07,0.72
GCAG,2015-06,0.8737
GISTEMP,2015-06,0.77
GCAG,2015-05,0.8515
GISTEMP,2015-05,0.78
GCAG,2015-04,0.7707
GISTEMP,2015-04,0.73
GCAG,2015-03,0.8928
GISTEMP,2015-03,0.9
GCAG,2015-02,0.8810
GISTEMP,2015-02,0.87
GCAG,2015-01,0.8147
GISTEMP,2015-01,0.81
GCAG,2014-12,0.8258
GISTEMP,2014-12,0.78
GCAG,2014-11,0.6838
GISTEMP,2014-11,0.68
GCAG,2014-10,0.7767
GISTEMP,2014-10,0.85
GCAG,2014-09,0.7793
GISTEMP,2014-09,0.9
GCAG,2014-08,0.7874
GISTEMP,2014-08,0.81
GCAG,2014-07,0.6871
GISTEMP,2014-07,0.57
GCAG,2014-06,0.7527
GISTEMP,2014-06,0.65
GCAG,2014-05,0.7864
GISTEMP,2014-05,0.86
GCAG,2014-04,0.7949
GISTEMP,2014-04,0.78
GCAG,2014-03,0.7659
GISTEMP,2014-03,0.76
GCAG,2014-02,0.4764
GISTEMP,2014-02,0.5
GCAG,2014-01,0.6881
GISTEMP,2014-01,0.73
GCAG,2013-12,0.6921
GISTEMP,2013-12,0.66
GCAG,2013-11,0.8191
GISTEMP,2013-11,0.8
GCAG,2013-10,0.6703
GISTEMP,2013-10,0.69
GCAG,2013-09,0.6763
GISTEMP,2013-09,0.76
GCAG,2013-08,0.6569
GISTEMP,2013-08,0.65
GCAG,2013-07,0.6590
GISTEMP,2013-07,0.58
GCAG,2013-06,0.6752
GISTEMP,2013-06,0.65
GCAG,2013-05,0.7051
GISTEMP,2013-05,0.61
GCAG,2013-04,0.5544
GISTEMP,2013-04,0.52
GCAG,2013-03,0.6059
GISTEMP,2013-03,0.65
GCAG,2013-02,0.6242
GISTEMP,2013-02,0.56
GCAG,2013-01,0.5751
GISTEMP,2013-01,0.66
GCAG,2012-12,0.4540
GISTEMP,2012-12,0.51
GCAG,2012-11,0.6999
GISTEMP,2012-11,0.74
GCAG,2012-10,0.6930
GISTEMP,2012-10,0.78
GCAG,2012-09,0.7134
GISTEMP,2012-09,0.75
GCAG,2012-08,0.6596
GISTEMP,2012-08,0.63
GCAG,2012-07,0.6790
GISTEMP,2012-07,0.56
GCAG,2012-06,0.6953
GISTEMP,2012-06,0.61
GCAG,2012-05,0.7134
GISTEMP,2012-05,0.76
GCAG,2012-04,0.7241
GISTEMP,2012-04,0.68
GCAG,2012-03,0.5169
GISTEMP,2012-03,0.57
GCAG,2012-02,0.4187
GISTEMP,2012-02,0.48
GCAG,2012-01,0.4153
GISTEMP,2012-01,0.45
GCAG,2011-12,0.5405
GISTEMP,2011-12,0.53
GCAG,2011-11,0.4786
GISTEMP,2011-11,0.55
GCAG,2011-10,0.6287
GISTEMP,2011-10,0.66
GCAG,2011-09,0.5904
GISTEMP,2011-09,0.55
GCAG,2011-08,0.6063
GISTEMP,2011-08,0.72
GCAG,2011-07,0.6210
GISTEMP,2011-07,0.74
GCAG,2011-06,0.6375
GISTEMP,2011-06,0.58
GCAG,2011-05,0.5674
GISTEMP,2011-05,0.52
GCAG,2011-04,0.6459
GISTEMP,2011-04,0.64
GCAG,2011-03,0.5850
GISTEMP,2011-03,0.63
GCAG,2011-02,0.4881
GISTEMP,2011-02,0.5
GCAG,2011-01,0.4616
GISTEMP,2011-01,0.5
GCAG,2010-12,0.4788
GISTEMP,2010-12,0.48
GCAG,2010-11,0.7642
GISTEMP,2010-11,0.79
GCAG,2010-10,0.6185
GISTEMP,2010-10,0.7
GCAG,2010-09,0.5641
GISTEMP,2010-09,0.61
GCAG,2010-08,0.6503
GISTEMP,2010-08,0.64
GCAG,2010-07,0.7210
GISTEMP,2010-07,0.61
GCAG,2010-06,0.7262
